time,cpu_consumption,memory_consumption,energy_consumption,try
1.71568E+12,33.102573,859.8528,22.72387126,1
1.71568E+12,34.976192,859.8528,24.2093949,1
1.71568E+12,33.54618,860.004352,22.92698928,1
1.71568E+12,34.994846,860.004352,24.24164676,1
1.71568E+12,33.563484,860.049408,23.04683027,1
1.71568E+12,33.86643,860.049408,23.37949444,1
1.71568E+12,34.423286,860.286976,23.86370064,1
1.71568E+12,33.549713,860.594176,23.10034968,1
1.71568E+12,34.591637,860.594176,24.20673821,1
1.71568E+12,33.47512,860.647424,23.11968908,1
1.71568E+12,34.88119,860.647424,24.32337426,1
1.71568E+12,33.337605,860.69248,22.85279755,1
1.71568E+12,34.9907,861.679616,24.33158752,1
1.71568E+12,33.54463,861.720576,23.10939079,1
1.71568E+12,34.950775,861.720576,24.29519008,1
1.71568E+12,33.352524,862.089216,22.83311845,1
1.71568E+12,34.930447,862.089216,24.20966905,1
1.71568E+12,33.506374,863.96928,22.94476241,1
1.71568E+12,33.506374,863.96928,22.94476241,2
1.71568E+12,34.72045,865.54624,23.98943895,2
1.71568E+12,17.856243,867.40992,10.58395135,2
1.71568E+12,28.978941,1062.244352,18.85356598,2
1.71568E+12,34.23781,924.954624,23.48536121,2
1.71568E+12,32.061607,1024.167936,21.71957611,2
1.71568E+12,34.188904,1026.433024,23.57523726,2
1.71568E+12,33.69851,1027.170304,23.13244106,2
1.71568E+12,33.853363,1027.387392,23.34166293,2
1.71568E+12,34.27293,1028.038656,23.75015079,2
1.71568E+12,33.448986,1028.13696,,2
1.71568E+12,35.149532,1029.169152,24.57940398,2
1.71568E+12,33.575283,1029.414912,23.046728,2
1.71568E+12,34.764168,1029.861376,24.16653373,2
1.71568E+12,32.874454,1029.947392,22.42333437,2
1.71568E+12,34.498596,1029.947392,23.95304668,2
1.71568E+12,33.138336,1030.258688,22.65901935,2
1.71568E+12,34.507267,1030.258688,23.83012299,2
1.71568E+12,32.92567,1030.303744,22.53196096,2
1.71568E+12,34.87937,1030.303744,23.98705416,2
1.71568E+12,33.19864,1030.88128,22.60799955,2
1.71568E+12,34.557594,1030.88128,23.72982777,2
1.71568E+12,33.217884,1031.00416,22.68095864,2
1.71568E+12,34.298256,1031.00416,23.61388412,2
1.71568E+12,33.36543,1031.168,22.65828661,2
1.71568E+12,34.4757,1031.168,23.79160119,2
1.71568E+12,33.29695,1031.20896,22.6524071,2
1.71568E+12,34.695057,1031.467008,23.88457054,2
1.71568E+12,33.085598,1020.379136,22.59555373,2
1.71568E+12,34.911053,1020.645376,24.02758404,2
1.71568E+12,33.206253,1022.164992,22.73426035,2
1.71568E+12,34.693096,1022.58688,24.01167192,2
1.71568E+12,33.20345,1023.65184,22.81608185,2
1.71568E+12,33.99046,1023.65184,23.48150435,2
1.71568E+12,34.248528,1024.3072,23.55481695,2
1.71568E+12,33.30571,1024.3072,22.86246005,2
1.71568E+12,34.566082,1024.36864,24.02307649,2
1.71568E+12,33.118004,1024.651264,22.6791683,2
1.71568E+12,34.543945,1025.376256,23.97855044,2
1.71568E+12,33.137493,1025.49504,22.67106862,2
1.71568E+12,34.705883,1025.49504,24.04838207,2
1.71568E+12,33.271484,1025.581056,22.84890277,2
1.71568E+12,34.836094,1025.581056,24.09763003,2
1.71568E+12,33.354736,1025.695744,22.78306205,2
1.71568E+12,33.354736,1025.695744,22.78306205,3
1.71568E+12,34.92545,1026.392064,24.12935628,3
1.71568E+12,22.102938,926.84288,13.67608837,3
1.71568E+12,24.663021,1160.912896,15.46927721,3
1.71568E+12,34.60013,1162.788864,23.7285302,3
1.71568E+12,31.31158,1123.270656,20.97580792,3
1.71568E+12,34.812157,1124.59776,23.97347455,3
1.71568E+12,33.463234,1125.94944,22.96520173,3
1.71568E+12,35.10433,1126.756352,24.35906216,3
1.71568E+12,33.574585,1126.846464,23.15162668,3
1.71568E+12,34.647636,1127.702528,24.06310537,3
1.71568E+12,33.91371,1127.878656,23.31230804,3
1.71568E+12,34.215965,1128.394752,23.62111001,3
1.71568E+12,34.65727,1128.48896,23.99282428,3
1.71568E+12,33.53463,1128.57088,23.00923897,3
1.71568E+12,34.4357,1128.57088,23.79814172,3
1.71568E+12,33.33546,1128.820736,22.78559008,3
1.71568E+12,34.595943,1130.123264,23.94034824,3
1.71568E+12,33.56129,1130.463232,22.9414942,3
1.71568E+12,34.820854,1130.729472,23.9349944,3
1.71568E+12,33.17132,1130.770432,22.68122968,3
1.71568E+12,34.592445,1131.040768,23.87323901,3
1.71568E+12,33.054367,1131.86816,22.48209799,3
1.71568E+12,34.406258,1131.86816,23.66713118,3
1.71568E+12,33.063023,1132.126208,22.4524612,3
1.71568E+12,34.414253,1132.126208,23.7304667,3
1.71568E+12,33.496677,1132.167168,22.77272651,3
1.71568E+12,33.496677,1132.167168,22.77272651,4
1.71568E+12,34.535454,1132.167168,23.82379861,4
1.71568E+12,17.508865,1062.66624,10.33934515,4
1.71568E+12,29.354282,1258.72128,19.16579962,4
1.71568E+12,33.720264,1261.236224,23.10296237,4
1.71568E+12,32.02233,1219.50208,21.71421248,4
1.71568E+12,34.420986,1221.578752,23.72012115,4
1.71568E+12,33.7037,1222.012928,23.22743942,4
